Training model...
step: 325, nll_train: 6.820219, rec_acc_eval: 0.810
step: 326, nll_train: 6.739164, rec_acc_eval: 0.808
step: 327, nll_train: 6.787769, rec_acc_eval: 0.808
step: 328, nll_train: 6.806410, rec_acc_eval: 0.814
step: 329, nll_train: 6.618599, rec_acc_eval: 0.816
step: 330, nll_train: 6.836155, rec_acc_eval: 0.812
step: 331, nll_train: 6.911786, rec_acc_eval: 0.807
step: 332, nll_train: 6.930318, rec_acc_eval: 0.803
step: 333, nll_train: 6.857234, rec_acc_eval: 0.801
step: 334, nll_train: 6.902655, rec_acc_eval: 0.799
step: 335, nll_train: 7.097236, rec_acc_eval: 0.801
step: 336, nll_train: 7.081864, rec_acc_eval: 0.792
step: 337, nll_train: 6.990253, rec_acc_eval: 0.795
step: 338, nll_train: 6.802198, rec_acc_eval: 0.800
step: 339, nll_train: 6.831493, rec_acc_eval: 0.807
step: 340, nll_train: 6.691532, rec_acc_eval: 0.813
step: 341, nll_train: 6.466122, rec_acc_eval: 0.814
step: 342, nll_train: 6.447363, rec_acc_eval: 0.814
step: 343, nll_train: 6.655920, rec_acc_eval: 0.813
step: 344, nll_train: 6.719151, rec_acc_eval: 0.813
step: 345, nll_train: 6.850790, rec_acc_eval: 0.814
step: 346, nll_train: 6.969811, rec_acc_eval: 0.816
step: 347, nll_train: 7.219807, rec_acc_eval: 0.813
step: 348, nll_train: 7.062345, rec_acc_eval: 0.815
step: 349, nll_train: 7.074604, rec_acc_eval: 0.816
step: 350, nll_train: 6.699321, rec_acc_eval: 0.816
step: 351, nll_train: 7.148095, rec_acc_eval: 0.817
step: 352, nll_train: 6.784390, rec_acc_eval: 0.817
step: 353, nll_train: 6.814918, rec_acc_eval: 0.815
step: 354, nll_train: 6.621832, rec_acc_eval: 0.815
step: 355, nll_train: 6.683854, rec_acc_eval: 0.818
step: 356, nll_train: 6.632244, rec_acc_eval: 0.817
step: 357, nll_train: 6.758690, rec_acc_eval: 0.816
step: 358, nll_train: 6.638031, rec_acc_eval: 0.817
step: 359, nll_train: 6.403516, rec_acc_eval: 0.818
step: 360, nll_train: 6.483593, rec_acc_eval: 0.823
step: 361, nll_train: 6.802665, rec_acc_eval: 0.822
step: 362, nll_train: 6.610438, rec_acc_eval: 0.816
step: 363, nll_train: 6.600250, rec_acc_eval: 0.804
step: 364, nll_train: 6.709002, rec_acc_eval: 0.802
step: 365, nll_train: 6.582816, rec_acc_eval: 0.805
step: 366, nll_train: 6.563924, rec_acc_eval: 0.806
step: 367, nll_train: 6.686402, rec_acc_eval: 0.807
step: 368, nll_train: 6.794785, rec_acc_eval: 0.801
step: 369, nll_train: 6.747528, rec_acc_eval: 0.806
step: 370, nll_train: 6.868866, rec_acc_eval: 0.810
step: 371, nll_train: 6.870153, rec_acc_eval: 0.815
step: 372, nll_train: 6.821804, rec_acc_eval: 0.818
step: 373, nll_train: 6.850656, rec_acc_eval: 0.820
step: 374, nll_train: 6.856483, rec_acc_eval: 0.822
step: 375, nll_train: 6.787954, rec_acc_eval: 0.817
step: 376, nll_train: 6.529409, rec_acc_eval: 0.815
step: 377, nll_train: 6.587981, rec_acc_eval: 0.815
step: 378, nll_train: 6.669028, rec_acc_eval: 0.816
step: 379, nll_train: 6.512419, rec_acc_eval: 0.820
step: 380, nll_train: 6.577966, rec_acc_eval: 0.821
step: 381, nll_train: 6.690054, rec_acc_eval: 0.829
step: 382, nll_train: 6.414280, rec_acc_eval: 0.831
step: 383, nll_train: 6.743227, rec_acc_eval: 0.838
step: 384, nll_train: 6.343960, rec_acc_eval: 0.839
step: 385, nll_train: 6.450392, rec_acc_eval: 0.832
step: 386, nll_train: 6.388112, rec_acc_eval: 0.833
step: 387, nll_train: 6.256434, rec_acc_eval: 0.823
step: 388, nll_train: 6.580977, rec_acc_eval: 0.821
step: 389, nll_train: 6.462078, rec_acc_eval: 0.828
step: 390, nll_train: 6.420609, rec_acc_eval: 0.822
step: 391, nll_train: 6.659987, rec_acc_eval: 0.820
step: 392, nll_train: 6.634082, rec_acc_eval: 0.823
step: 393, nll_train: 6.320599, rec_acc_eval: 0.824
step: 394, nll_train: 6.493795, rec_acc_eval: 0.824
step: 395, nll_train: 6.525626, rec_acc_eval: 0.828
step: 396, nll_train: 6.379123, rec_acc_eval: 0.826
step: 397, nll_train: 6.355399, rec_acc_eval: 0.829
step: 398, nll_train: 6.482052, rec_acc_eval: 0.826
step: 399, nll_train: 6.552881, rec_acc_eval: 0.828
step: 400, nll_train: 6.550292, rec_acc_eval: 0.830
step: 401, nll_train: 6.367466, rec_acc_eval: 0.826
step: 402, nll_train: 6.227447, rec_acc_eval: 0.824
step: 403, nll_train: 6.126913, rec_acc_eval: 0.826
step: 404, nll_train: 6.456838, rec_acc_eval: 0.824
step: 405, nll_train: 6.278026, rec_acc_eval: 0.825
step: 406, nll_train: 6.415967, rec_acc_eval: 0.821
step: 407, nll_train: 6.490746, rec_acc_eval: 0.826
step: 408, nll_train: 6.441165, rec_acc_eval: 0.825
step: 409, nll_train: 6.472743, rec_acc_eval: 0.820
step: 410, nll_train: 6.548733, rec_acc_eval: 0.822
step: 411, nll_train: 6.286252, rec_acc_eval: 0.824
step: 412, nll_train: 6.513260, rec_acc_eval: 0.820
step: 413, nll_train: 6.446766, rec_acc_eval: 0.819
step: 414, nll_train: 6.423773, rec_acc_eval: 0.822
step: 415, nll_train: 6.467389, rec_acc_eval: 0.825
step: 416, nll_train: 6.345006, rec_acc_eval: 0.826
step: 417, nll_train: 6.327874, rec_acc_eval: 0.826
step: 418, nll_train: 6.356461, rec_acc_eval: 0.823
step: 419, nll_train: 6.284540, rec_acc_eval: 0.825
step: 420, nll_train: 6.283310, rec_acc_eval: 0.828
step: 421, nll_train: 6.328724, rec_acc_eval: 0.831
step: 422, nll_train: 6.217639, rec_acc_eval: 0.831
step: 423, nll_train: 6.173904, rec_acc_eval: 0.835
step: 424, nll_train: 6.162274, rec_acc_eval: 0.836
step: 425, nll_train: 6.121728, rec_acc_eval: 0.836
step: 426, nll_train: 6.260455, rec_acc_eval: 0.837
step: 427, nll_train: 6.177912, rec_acc_eval: 0.838
step: 428, nll_train: 6.199124, rec_acc_eval: 0.836
step: 429, nll_train: 6.060051, rec_acc_eval: 0.837
step: 430, nll_train: 5.872572, rec_acc_eval: 0.838
step: 431, nll_train: 5.888721, rec_acc_eval: 0.842
step: 432, nll_train: 5.764530, rec_acc_eval: 0.841
step: 433, nll_train: 6.030861, rec_acc_eval: 0.846
step: 434, nll_train: 6.204570, rec_acc_eval: 0.834
step: 435, nll_train: 5.982781, rec_acc_eval: 0.833
step: 436, nll_train: 6.093637, rec_acc_eval: 0.821
step: 437, nll_train: 6.354991, rec_acc_eval: 0.824
step: 438, nll_train: 6.091688, rec_acc_eval: 0.820
step: 439, nll_train: 6.291265, rec_acc_eval: 0.823
step: 440, nll_train: 6.541105, rec_acc_eval: 0.822
step: 441, nll_train: 6.252294, rec_acc_eval: 0.818
step: 442, nll_train: 6.055976, rec_acc_eval: 0.822
step: 443, nll_train: 6.476933, rec_acc_eval: 0.817
step: 444, nll_train: 6.293025, rec_acc_eval: 0.823
step: 445, nll_train: 6.483735, rec_acc_eval: 0.823
step: 446, nll_train: 6.433033, rec_acc_eval: 0.819
step: 447, nll_train: 6.137222, rec_acc_eval: 0.819
step: 448, nll_train: 6.075360, rec_acc_eval: 0.825
step: 449, nll_train: 6.250070, rec_acc_eval: 0.825
step: 450, nll_train: 6.213201, rec_acc_eval: 0.829
step: 451, nll_train: 6.205516, rec_acc_eval: 0.831
step: 452, nll_train: 6.053330, rec_acc_eval: 0.835
step: 453, nll_train: 6.149090, rec_acc_eval: 0.836
step: 454, nll_train: 5.861083, rec_acc_eval: 0.835
step: 455, nll_train: 5.922655, rec_acc_eval: 0.835
step: 456, nll_train: 5.939157, rec_acc_eval: 0.832
step: 457, nll_train: 6.265914, rec_acc_eval: 0.834
step: 458, nll_train: 5.830642, rec_acc_eval: 0.836
step: 459, nll_train: 6.061172, rec_acc_eval: 0.842
step: 460, nll_train: 6.021666, rec_acc_eval: 0.836
step: 461, nll_train: 6.361398, rec_acc_eval: 0.832
step: 462, nll_train: 5.988837, rec_acc_eval: 0.837
step: 463, nll_train: 5.887113, rec_acc_eval: 0.837
step: 464, nll_train: 6.078074, rec_acc_eval: 0.834
